Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
3M191THE RIVERSIDE SCHOOL FOR MAKERSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Construction,209,178,264000,175887,1411
3M191THE RIVERSIDE SCHOOL FOR MAKERSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,"CM, F&E",209,178,79648,83248,13878
3M199P.S. 199 - MANHATTANSCA CIP RESOAFY13 RESO A- GREENHOUSE,Scope,135,100,0,158612,158265
3M199P.S. 199 - MANHATTANSCA CIP RESOAFY13 RESO A- GREENHOUSE,Design,157,168,44460,124220,124220
3M342THE RIVERSIDE SCHOOL - MSCA CapacityNEW SCHOOL,Design,170,1556,5954058,4971231,4574468
3M470URBAN ASSEMBLY SCHOOLSCA CIPHVAC (BMS) WORK/BACKFLOW PREVENTER & WATER METER,Scope,123,168,31295,56429,46454
3M470URBAN ASSEMBLY SCHOOLSCA CIPHVAC (BMS) WORK/BACKFLOW PREVENTER & WATER METER,Design,183,348,120074,141154,90468
11X113M.S./H.S. 272 - BRONXSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Design,136,15,15000,32855,30664
11X113THE FORWARD SCHOOL - BRONXSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Scope,60,77,0,11095,11095
11X113THE FORWARD SCHOOL - BRONXSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Design,153,39,24000,7449,7449
11X121P.S. 121 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,271,141,35000,34738,34738
11X121P.S. 121 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,271,141,135000,133984,133984
11X121P.S. 121 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,271,141,104000,103220,103220
11X127I.S. 127 - BRONXSCA CIPFULL PROGRAM ACCESSIBILITY,Scope,137,124,25078,15039,15039
11X127I.S. 127 - BRONXSCA CIPFULL PROGRAM ACCESSIBILITY,Design,174,721,100314,78258,45474
11X127I.S. 127 - BRONXSCA CIPWINDOWS/PARAPETS/EXT MASONRY/ROOFS,Scope,138,114,119507,14713,14713
11X135I.S. 322 - BRONXSCA CIPCEILING TILE REPLACEMENT,Scope,120,92,41805,58135,57257
11X135I.S. 322 - BRONXSCA CIPCEILING TILE REPLACEMENT,Design,154,129,167220,141079,126708
11X135I.S. 322 - BRONXSCA CIPCEILING TILE REPLACEMENT,Construction,539,519,3135375,3003259,2719397
11X135I.S. 322 - BRONXSCA CIPCEILING TILE REPLACEMENT,"CM, F&E",539,519,195090,284798,281912
11X142I.S. 529 - BRONXSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,121,17,4803,2080,2080
11X144I.S. 144 - BRONXSCA CIPPLANYC BOILER CONVERSION/CLIMATE CONTROL,Scope,154,106,81345,77267,77267
11X144I.S. 144 - BRONXSCA CIPPLANYC BOILER CONVERSION/CLIMATE CONTROL,Design,156,649,325380,460008,410872
11X144I.S. 144 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,88,100000,99246,99246
11X144I.S. 566 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,271,128,100000,99246,99246
11X153P.S. 153 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,86,50000,49622,49622
11X160P.S. 160 - BRONXSCA CIP RESOAFY17 RESO A GYMNASIUM UPGRADE,Scope,59,88,0,13265,13265
11X160P.S. 160 - BRONXSCA CIP RESOAFY17 RESO A GYMNASIUM UPGRADE,Design,136,15,32027,36696,32333
11X160P.S. 160 - BRONXSCA CIP RESOAFY17 RESO A GYMNASIUM UPGRADE,Construction,209,154,469735,344564,215416
11X160P.S. 160 - BRONXSCA CIP RESOAFY17 RESO A GYMNASIUM UPGRADE,"CM, F&E",209,154,32027,49501,27319
11X160P.S. 160 - BRONXSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,93,85,0,53982,53427
11X160P.S. 160 - BRONXSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,137,61,118125,73140,73140
11X178P.S. 178 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,80,80000,79396,79396
11X181I.S. 181 - BRONXSCA CIP RESOAFY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,105,0,22682,22682
11X181I.S. 181 - BRONXSCA CIP RESOAFY15 RESO A PLAYGROUND REDEVELOPMENT,Design,139,141,77756,114664,111313
11X194P.S./I.S. 194 - BRONXTrust For Public LanFY14 RESO A PLAYGROUND UPGRADE,Scope,0,0,50000,50000,50000
11X194P.S./I.S. 194 - BRONXTrust For Public LanFY14 RESO A PLAYGROUND UPGRADE,Design,0,16,150000,150000,150000
11X194P.S./I.S. 194 - BRONXTrust For Public LanFY14 RESO A PLAYGROUND UPGRADE,Construction,245,190,410000,410000,397000
11X194P.S./I.S. 194 - BRONXTrust For Public LanFY14 RESO A PLAYGROUND UPGRADE,F&E,365,545,134000,134000,134000
11X292YOUNG VOICES ACADEMY OF THE BRDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,65,100000,99244,99244
11X311THE STEAM BRIDGE SCHOOL - BRONDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,77,100000,99246,99246
11X415COLLEGIATE INST FOR MATH & SCISCA CIPFIRE ALARM SYSTEM,Scope,95,105,17636,27328,27328
11X415COLLEGIATE INST FOR MATH & SCISCA CIPFIRE ALARM SYSTEM,Design,186,241,70546,107048,107048
11X415COLLEGIATE INST FOR MATH & SCISCA CIPIP SURVEILLANCE CAMERAS,Scope,123,190,9087,8574,8574
11X415COLLEGIATE INST FOR MATH & SCISCA CIPIP SURVEILLANCE CAMERAS,Design,182,26,33318,34357,34357
11X425HS OF COMPUTERS & TECHNOLOGYSCA CIPIP SURVEILLANCE CAMERAS,Scope,121,217,8760,5196,5196
11X425HS OF COMPUTERS & TECHNOLOGYSCA CIPIP SURVEILLANCE CAMERAS,Design,181,85,32120,20854,20854
11X455HARRY S. TRUMAN HS - XSCA CIPEXT MASONRY/PARAPETS,Scope,141,225,57169,260002,192405
11X455HARRY S. TRUMAN HS - XSCA CIPEXT MASONRY/PARAPETS,Design,154,207,227711,177669,152873
11X455HARRY S. TRUMAN HS - XSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,72,17133,2930,2930
11X456HARRY S. TRUMAN HS - XSCA CIP RESOAFY16 RESO A ATHLETIC FIELDS,Scope,153,113,0,153629,153326
11X722X721 SPED - BRONXSCA CIPEXT MSNRY WATER PENETR/WINDOW/ROOF/ FLOOD/PARAPET,Scope,140,132,162009,146686,146686
11X722X721 SPED - BRONXSCA CIPEXT MSNRY WATER PENETR/WINDOW/ROOF/ FLOOD/PARAPET,Design,151,298,633969,298837,203845
3M470INNOVATION DIPLOMA PLUSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,56,6086,2495,2495
3M470URBAN ASSEMBLY SCHOOLSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,94,109,0,7615,1079
3M485FIORELLO LAGUARDIA HS - MANHATSCA CIP RESOAFY15 RESO A TECHNICAL THEATER SHOP,Scope,123,223,0,138310,119111
3M490HS FOR ARTS & TECHNOLOGY - MSCA CIPROOFS/WINDOWS,Scope,138,159,151991,61715,60922
3M490HS FOR ARTS & TECHNOLOGY - MSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,122,2,4610,992,992
3M490HS FOR ARTS & TECHNOLOGY - MSCA CIP RESOAFY16 RESO A ATHLETIC FIELDS,Scope,150,50,0,26682,26682
3M490MAXINE GREEN HIGH SCHOOLSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,91,60,0,15378,15378
3M490HUNTER SCIENCE HS - MANHATTANSCA CIP RESOAFY17 RESO A SCIENCE LAB UPGRADES,Scope,105,47,0,19655,19655
3M837WEST END SECONDARY SCHOOL - MSCA Lease Site ImproLEASE (PHASE II),Scope,80,80,342350,455743,455592
3M837WEST END SECONDARY SCHOOL - MSCA Lease Site ImproLEASE (PHASE II),Design,108,749,1095520,1927382,1824311
3M841M811 SPED - MANHATTANSCA CIPEXT MASONRY/FLOOD ELIMINATION/WINDOWS,Scope,183,131,71049,53823,42223
3M841M811 SPED - MANHATTANSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,57,33,0,7330,7330
3M841M811 SPED - MANHATTANSCA CIP RESOAFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,135,55,26869,32717,20503
4M013CENTRAL PARK EAST HS - MANHATTDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,146,126000,103326,103326
4M045COAL. SCHOOL FOR SOCIAL CHANGESCA CIPFLOOD ELIMINATION/EXTERIOR MASONRY,Scope,135,251,29850,90141,89567
4M045COAL. SCHOOL FOR SOCIAL CHANGESCA CIPFLOOD ELIMINATION/EXTERIOR MASONRY,Design,152,152,109450,143603,76177
4M050P.S. 50 - MANHATTANSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,Scope,141,249,242446,161804,160747
4M050P.S. 50 - MANHATTANSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,Design,159,269,966439,739087,488929
4M050P.S. 50 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,120,61,0,12948,2013
15K029P.S. 29 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,99,35000,34737,34737
15K032P.S. 32 - BROOKLYNSCA CapacityADDITION,Scope,167,168,1860650,1427722,1416079
15K032P.S. 32 - BROOKLYNSCA CapacityADDITION,Design,225,568,5954080,4025375,2093863
15K039P.S. 39 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,115,35000,34737,34737
15K058P.S. 58 - BROOKLYNSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,154,35,100975,65087,57657
15K058P.S. 58 - BROOKLYNSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Design,154,128,403898,144800,144800
15K058P.S. 058 THE CARROLLDIIT - RESOAFY15 RESO A TECHNOLOGY,Purch & Install,22,108,35000,34737,34737
15K088I.S. 88 - BROOKLYNSCA CIPPLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,Scope,154,196,88440,99446,99446
15K088I.S. 88 - BROOKLYNSCA CIPPLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,Design,150,905,353760,397776,342827
15K094P.S. 94 - BROOKLYNSCA CIPEXT MASONRY/WINDOWS/FLOOD ELIMINATION,Scope,135,14,67910,186152,140526
15K107P.S. 107 - BROOKLYNSCA CIPEXTERIOR MASONRY/ROOFS/PARAPETS,Scope,138,185,60445,70689,37430
