Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
15K107P.S. 107 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,97,35000,34737,34737
15K124P.S. 124 - BROOKLYNSCA CIPFLOOD/ROOFS/PARAPETS/EXT MASONRY,Scope,136,189,87193,92975,88660
15K124P.S. 124 - BROOKLYNSCA CIPFLOOD/ROOFS/PARAPETS/EXT MASONRY,Design,154,217,326362,240527,183399
15K124P.S. 121 - BROOKLYNSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,61,36,0,1959,1959
15K124P.S. 121 - BROOKLYNSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Design,89,76,12000,7944,7944
15K130P.S. 130 - BROOKLYNSCA CIPWATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,Scope,137,119,195166,209264,209239
15K130P.S. 130 - BROOKLYNSCA CIPWATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,Design,155,144,770803,487703,339157
15K130P.S. 130 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,108,35000,34737,34737
15K131P.S. 131 - BROOKLYNSCA CIPWATER PENETRATION/FLOOD/PARAPETS/ROOFS,Scope,138,153,204472,206545,173360
15K131P.S. 131 - BROOKLYNSCA CIPWATER PENETRATION/FLOOD/PARAPETS/ROOFS,Design,152,192,810571,596715,23405
15K131P.S. 131 - BROOKLYNDCAS/NYPAHIGH EFFICIENCY LIGHTING SYSTEM,Construction,731,731,149203,149203,149203
15K131P.S. 131 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,93,35000,34737,34737
15K136I.S. 136 - BROOKLYNSCA CIPELECTRICAL SYSTEMS UPGRADE/FLOOD ELIMINATION,Scope,123,76,27197,36262,13935
15K136I.S. 136 - BROOKLYNSCA CIPELECTRICAL SYSTEMS UPGRADE/FLOOD ELIMINATION,Design,153,209,108279,78717,11738
15K136I.S. 136 - BROOKLYNSCA CIPROOFS/DEFECTIVE ENTRY STEPS,Scope,138,182,60413,54680,27666
15K136I.S. 821 - BROOKLYNSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Scope,123,40,0,7407,7407
15K136I.S. 821 - BROOKLYNSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Design,135,104,23178,36991,36991
15K136I.S. 821 - BROOKLYNSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,Construction,209,325,339942,290726,216135
15K136I.S. 821 - BROOKLYNSCA CIP RESOAFY16 RESO A GYMNASIUM UPGRADE,"CM, F&E",209,325,23178,40974,33482
15K136I.S. 136 - BROOKLYNSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,59,49,0,6948,6948
15K136I.S. 136 - BROOKLYNSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,150,62,11551,27792,23592
15K136I.S. 136 - BROOKLYNSCA CIP RESOAFY17 RESO A SCIENCE LAB/FY17 RESO A SCIENCE LAB,Scope,105,49,0,19584,19584
15K136I.S. 136 - BROOKLYNSCA CIP RESOAFY17 RESO A SCIENCE LAB/FY17 RESO A SCIENCE LAB,Design,150,59,61290,74957,57929
15K136I.S. 136 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,118,60000,59547,59547
15K142P.S. 146 - BROOKLYNSCA CIPFALLING MASONRY,Scope,136,183,63340,58386,51765
15K142P.S. 146 - BROOKLYNSCA CIPFALLING MASONRY,Design,153,145,253358,198299,170301
15K142P.S. 146 - BROOKLYNSCA CIP RESOAFY17 RESO A GREEN ROOF CLASSROOM,Scope,135,35,0,206,206
4M072P.S. 72 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Scope,105,105,21568,19847,19847
4M072P.S. 72 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Design,155,415,79081,60666,60102
4M072P.S. 72 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Construction,269,267,837542,808337,674298
4M072P.S. 72 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,"CM, F&E",269,267,239878,297018,288527
4M072P.S. 72 - MANHATTANSCA CIPPARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Scope,293,293,234116,138330,138330
4M072P.S. 72 - MANHATTANSCA CIPPARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Design,142,102,920994,577832,577832
4M072P.S. 72 - MANHATTANSCA CIPPARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,Construction,729,729,15880494,15196174,14529752
4M072P.S. 72 - MANHATTANSCA CIPPARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,"CM, F&E",729,729,1293612,837905,836747
4M083P.S. 83 - MANHATTANSCA CIPFULL PROGRAM ACCESSIBILITY,Scope,138,139,128775,144415,140588
4M083P.S. 83 - MANHATTANSCA CIPFULL PROGRAM ACCESSIBILITY,Design,169,489,515100,623034,504791
4M083P.S. 182 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,68,100000,99249,99249
4M099SUCCESS ACADEMY CHARTER SCHOOLSCA CIPINTERIOR STAIRS,Scope,122,144,30675,29955,29656
4M099SUCCESS ACADEMY CHARTER SCHOOLSCA CIPINTERIOR STAIRS,Design,152,299,122700,142535,129560
4M108P.S. 108 - MANHATTANSCA CIPPLANYC BOILER/PLANC CLIMATE CTRL/LOW VOLT/KITCHEN,Scope,156,70,109453,72840,72160
4M108P.S. 108 - MANHATTANSCA CIPPLANYC BOILER/PLANC CLIMATE CTRL/LOW VOLT/KITCHEN,Design,154,181,428686,313646,293074
4M108P.S. 108 - MANHATTANSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,61,67,0,1781,1781
4M117I.S. 372 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Scope,105,105,16740,37146,37146
4M117I.S. 372 - MANHATTANSCA CIPSCIENCE LAB UPGRADE,Design,154,152,66960,213431,134101
4M206P.S. 206 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,59,91,0,7199,1221
4M495PARK EAST ALT HSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,209,209
4M495PARK EAST ALT HSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,45,45,2600,19743,17929
5M010FREDERICK DOUGLAS ACADEMY - MDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,109,100000,99248,99248
5M010FREDERICK DOUGLAS ACADEMY - MDOE- RESOAFY16 RESO A GYMNASIUM UPGRADE,Construction,260,260,12602,126024,126024
5M030P.S. 30 - MANHATTANSCA CIPENY AUDITORIUM UPGRADE,Scope,120,44,6126,6496,6496
5M030P.S. 30 - MANHATTANSCA CIPROOFS/EXTERIOR MASONRY,Scope,138,138,133403,26645,11470
5M036P.S. 36 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,111,154,80000,80000,79400
15K154P.S. 154 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,265,118,35000,34738,34738
15K230P.S. 230 - BROOKLYNSCA CIPELECTRICAL SYSTEMS,Scope,123,70,28267,3367,3367
15K230P.S. 230 - BROOKLYNSCA CIPELECTRICAL SYSTEMS,Design,212,63,103647,13466,13466
15K230P.S. 230 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,92,35000,34632,34632
15K261P.S. 261 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,55,30,60000,60000,58948
15K280EDUCATIONAL CAMPUS @ 500 19THSCA Lease Site ImproLEASE,Scope,0,0,385000,704387,391115
15K280EDUCATIONAL CAMPUS @ 500 19THSCA Lease Site ImproLEASE,Design,165,398,1232000,1421678,1204927
15K321P.S. 321 - BROOKLYNSCA CIPFULL PROGRAM ACCESSIBILITY/FIRE ALARM,Scope,140,157,92614,133512,132254
15K321P.S. 321 - BROOKLYNSCA CIPFULL PROGRAM ACCESSIBILITY/FIRE ALARM,Design,168,352,364523,344062,288187
15K321P.S. 321 - BROOKLYNSCA CIP RESOAFY 15 SOLAR PANEL ROOF INSTALLATION,Scope,137,113,0,34019,34019
15K338P.S./I.S. 338 - BROOKLYNSCA CapacityNEW SCHOOL/DEMOLITION,Scope,181,148,1368460,1084655,1084655
15K338P.S./I.S. 338 - BROOKLYNSCA CapacityNEW SCHOOL/DEMOLITION,Design,248,1239,5131725,4209600,3694026
15K369COY L. COX SCHOOLSCA CIPDEFECTIVE EXT WALL/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,139,209,94814,134538,133116
15K369COY L. COX SCHOOLSCA CIPDEFECTIVE EXT WALL/FLOOD ELIMINATION/PARAPETS/ROOF,Design,154,189,373202,216188,32762
15K460SECONDARY SCHOOL FOR LAW - KSCA CIPDETERIORATED LEADER AND DRAIN LINES,Scope,122,184,134775,77105,77105
15K460SECONDARY SCHOOL FOR LAW - KSCA CIPDETERIORATED LEADER AND DRAIN LINES,Design,142,288,539100,240696,174910
15K460PARK SLOPE COLLEGIATE - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,67,35000,34737,34737
15K460SECONDARY SCHOOL FOR LAW - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,144,35000,34737,34737
15K460MILLENIUM BROOKLYN HIGH SCHOOLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,265,168,35000,34737,34737
15K520BROOKLYN FRONTIERS HIGH SCHOOLSCA CIPPUBLIC ADDRESS SYSTEM,Scope,91,34,10228,6907,6907
15K520BROOKLYN FRONTIERS HIGH SCHOOLSCA CIPPUBLIC ADDRESS SYSTEM,Design,154,41,37502,28731,28731
15K557P.S. @ 4302 4TH AVE - BROOKLYNSCA CapacityNEW SCHOOL (PHASE II),Scope,157,157,1433375,1227898,819370
15K557P.S. @ 4302 4TH AVE - BROOKLYNSCA CapacitySTABILIZATION,Scope,0,0,15000,0,0
15K557P.S. @ 4302 4TH AVE - BROOKLYNSCA CapacitySTABILIZATION,Design,0,0,48000,0,0
15K557P.S. @ 4302 4TH AVE - BROOKLYNSCA CIPDEMOLITION,Scope,0,0,83311,1190,1190
15K564BUSHWICK COMMUNITY HS - BROOKLSCA CIPDEMOLITION FOR BUSHWICK COMMUNITY HS,Scope,92,219,23523,13669,6356
15K564BUSHWICK COMMUNITY HS - BROOKLSCA CIPDEMOLITION FOR BUSHWICK COMMUNITY HS,Design,123,748,94093,151356,124928
15K564SUNSET PARK HS - BROOKLYNSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Scope,59,34,0,10675,855
15K655BROOKLYN HS OF THE ARTSSCA CIPANSUL SYS/FIRE ALARM/MECHANICAL SYS - VENTILATION,Scope,91,134,23020,72094,72094
15K655BROOKLYN HS OF THE ARTSSCA CIPANSUL SYS/FIRE ALARM/MECHANICAL SYS - VENTILATION,Design,187,574,90493,218313,207685
15K655BROOKLYN HS OF THE ARTSSCA CIPDAMAGED EXTERIOR WALLS/ROOFS,Scope,139,300,98655,93888,37156
15K655BROOKLYN HS OF THE ARTSSCA CIPDAMAGED EXTERIOR WALLS/ROOFS,Design,155,151,394620,368801,342675
15K655BROOKLYN HS OF THE ARTSSCA CIPDAMAGED EXTERIOR WALLS/ROOFS,Construction,449,852,7399126,7609593,6551627
15K655BROOKLYN HS OF THE ARTSSCA CIPDAMAGED EXTERIOR WALLS/ROOFS,"CM, F&E",449,852,460390,342708,316031
15K655I.S. 447 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,122,100000,99249,99249
15K656BROOKLYN HS OF THE ARTSSCA CIPFIRE ALARM/FIRE PROTECTION SYSTEM - SPRINKLERS,Scope,91,134,58741,33801,33801
15K656BROOKLYN HS OF THE ARTSSCA CIPFIRE ALARM/FIRE PROTECTION SYSTEM - SPRINKLERS,Design,187,574,234965,150210,142112
15K656BROOKLYN HS OF THE ARTSSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,Scope,154,61,119175,81662,74232
15K661PRE-K CENTER @ 219 25TH STREETPRE-KLEASE,Scope,24,25,211610,144313,143999
15K661PRE-K CENTER @ 219 25TH STREETPRE-KLEASE,Design,84,156,677152,773537,700491
15K661PRE-K CENTER @ 219 25TH STREETPRE-KLEASE,Construction,419,504,9497057,8866654,8586754
5M043I.S. 286 - MANHATTANSCA CIPWINDOWS/EXT MASONRY/ROOFS/PARAPETS,Scope,137,168,314287,52906,39241
5M043I.S. 367 - MANHATTANSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,125,12,8571,1282,1282
5M043I.S. 286 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,133,75000,74435,74435
5M092P.S. 92 - MANHATTANSCA CIPCOLLASPED WALL,Scope,97,118,20741,27154,27154
5M123P.S. 123 - MANHATTANSCA CIPFLOOD ELIMINATION,Scope,140,131,72225,50102,49977
5M123P.S. 123 - MANHATTANSCA CIPFLOOD ELIMINATION,Design,153,226,288900,224637,212656
5M125P.S. 125 - MANHATTANSCA CIPROOFS,Scope,153,79,55802,65824,23147
5M125I.S. 362 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,98,50000,49619,49619
5M125P.S. 125 - MANHATTANDOE- RESOAFY17 RESO A SCIENCE LAB UPGRADES,Construction,315,315,100000,100000,888
5M129P.S. 129 - MANHATTANSCA CIPSCIENCE LAB UPGRADES,Scope,105,106,23463,18083,18083
5M129P.S. 129 - MANHATTANSCA CIPSCIENCE LAB UPGRADES,Design,155,399,86031,93944,93944
5M129P.S. 129 - MANHATTANSCA CIPSCIENCE LAB UPGRADES,Construction,269,270,911147,819588,748624
5M129P.S. 129 - MANHATTANSCA CIPSCIENCE LAB UPGRADES,"CM, F&E",269,270,253268,265500,263467
5M136I.S. 302 - MANHATTANSCA CIPENY PLAYGROUND UPGRADE,Scope,57,34,26877,32673,16083
5M136EAGLE ACADEMY FOR YOUNG MENSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,121,44,0,10606,10606
5M136EAGLE ACADEMY FOR YOUNG MENSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,151,162,22996,54782,41563
5M136EAGLE ACADEMY FOR YOUNG MENSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Construction,209,188,337275,269151,179383
5M136EAGLE ACADEMY FOR YOUNG MENSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",209,188,22996,44141,31285
5M154P.S. 154 - MANHATTANTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,515,517,50000,50000,50000
5M154P.S. 154 - MANHATTANTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,Design,500,517,150000,150000,150000
5M154P.S. 154 - MANHATTANTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,213,151,500000,500000,500000
5M154P.S. 154 - MANHATTANTrust For Public LanFY16 RESO A PLAYGROUND REDEVELOPMENT,F&E,151,151,134000,134000,134000
5M175P.S. 175 HENRY H GARNET - MSCA CIP RESOAFY17 RESO A GYMNASIUM UPGRADE,Scope,59,54,0,11028,11028
5M175P.S. 175 HENRY H GARNET - MSCA CIP RESOAFY17 RESO A GYMNASIUM UPGRADE,Design,135,63,22200,31857,30239
5M194P.S. 194 - MANHATTANSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Scope,59,66,0,3160,3160
5M194P.S. 194 - MANHATTANSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Design,135,42,33000,12639,12639
5M195I.S. 195 - MANHATTANSCA CIPROOFS,Scope,137,232,25096,64721,64721
5M195I.S. 195 - MANHATTANSCA CIPROOFS,Design,152,43,100385,273844,131226
5M195NEW DESIGN MIDDLE SCHOOL - MANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,89,35000,34723,34723
5M197P.S. 197 - MANHATTANDOE- RESOAFY17 RESO A SCIENCE LAB UPGRADES,Construction,121,121,122721,122721,122721
5M371P.S. 318 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,72,100000,99249,99249
5M484TEACHER'S COLLEGE COMMUNITY SCSCA Lease Site ImproLEASE,Scope,104,102,31250,1294,1294
5M501URBAN ASMBLY SCHL GLOBAL COMMSCA CIPFACADE/PAVED AREAS CONCRETE,Scope,140,142,138896,200876,100022
5M501URBAN ASMBLY SCHL GLOBAL COMMSCA CIPFACADE/PAVED AREAS CONCRETE,Design,153,160,555585,321374,287468
15K661PRE-K CENTER @ 219 25TH STREETPRE-KLEASE,"CM, F&E",419,504,1337375,778314,604878
15K682P.S. @ 736 48TH ST - BROOKLYNSCA Lease Site ImproPHASE II WORK,Scope,34,32,204342,52245,47266
15K682P.S. @ 736 48TH ST - BROOKLYNSCA Lease Site ImproLEASE,Scope,0,0,92112,5392,5392
15K682P.S. @ 736 48TH ST - BROOKLYNSCA Lease Site ImproLEASE,Design,170,188,294759,21564,21564
15K781WEST BROOKLYN COMMUNITY HS - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,98,105000,104153,104153
15K801HEADQTRS 65 CNTRL ADMIN. - KSCA CIPFACADE/WINDOWS,Scope,173,130,125618,74362,4837
15K801HEADQTRS 65 CNTRL ADMIN. - KSCA CIPFACADE/WINDOWS,Design,150,167,502472,234258,123404
15K834P.S. 418 - BROOKLYNSCA CIPPUBLIC ADDRESS SYS REPLACEMENT/FA SYS REPLACEMENT,Scope,559,524,36960,30388,19308
15K834P.S. 418 - BROOKLYNSCA CIPPUBLIC ADDRESS SYS REPLACEMENT/FA SYS REPLACEMENT,Design,189,207,135520,117984,112610
15K834P.S. 372 -THE CHILDREN'S SCHOODIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,553,35000,34737,34737
15K834K372 SPED - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,119,100000,99249,99249
15K845I.S. 443 - BROOKLYNSCA CIPGYM & CAFE FLOOR/FLOOD/FLOOR/PARAPETS/MASONRY/ROOF,Scope,511,572,163930,270562,198976
15K845I.S. 443 - BROOKLYNSCA CIPGYM & CAFE FLOOR/FLOOD/FLOOR/PARAPETS/MASONRY/ROOF,Design,154,257,633240,615685,511766
15K845P.S. 295 - BROOKLYNSCA CIP RESOAFY13 RESO A GYMNASIUM UPGRADE,Scope,511,572,0,11237,10970
15K845P.S. 295 - BROOKLYNSCA CIP RESOAFY13 RESO A GYMNASIUM UPGRADE,Design,154,257,43844,151067,113304
15K845I.S. 443 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,259,142,35000,34734,34734
16K005P.S. 5 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,150,180000,178629,178629
16K021P.S. 21 - BROOKLYNSCA CIPLOW VOLTAGE ELECTRICAL SYSTEMS,Scope,91,123,15555,11338,11338
16K021P.S. 21 - BROOKLYNSCA CIPLOW VOLTAGE ELECTRICAL SYSTEMS,Design,153,142,62220,44876,44876
16K025P.S. 25 - BROOKLYNSCA CIPROOFS/PARAPETS/EXT MASONRY/EXT DOORS,Scope,139,96,102962,155783,155167
16K025P.S. 25 - BROOKLYNSCA CIPROOFS/PARAPETS/EXT MASONRY/EXT DOORS,Design,158,144,406183,329842,329722
16K026FREDERICK DOUGLASS ACADEMY IVSCA CIPFULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,Scope,140,115,101250,113942,113942
16K026FREDERICK DOUGLASS ACADEMY IVSCA CIPFULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,Design,168,308,405001,563342,463015
16K026P.S. 26 - BROOKLYNSCA CIP RESOAFY13 RESO A PLAYGROUND REDEVELOPMENT,Scope,89,89,0,34278,34278
16K026P.S. 26 - BROOKLYNSCA CIP RESOAFY13 RESO A PLAYGROUND REDEVELOPMENT,Design,138,108,70500,119893,115402
16K026P.S. 26 - BROOKLYNSCA CIP RESOAFY13 RESO A PLAYGROUND REDEVELOPMENT,Construction,269,473,1034000,917412,761738
16K026P.S. 26 - BROOKLYNSCA CIP RESOAFY13 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",269,473,70500,110067,105576
16K035I.S. 35 - BROOKLYNSCA CIPFULL PROGRAM ACCESSIBILITY,Scope,138,317,124125,103717,103717
16K035I.S. 35 - BROOKLYNSCA CIPFULL PROGRAM ACCESSIBILITY,Design,169,352,496500,502951,368068
16K040P.S. 40 - BROOKLYNSCA CIP RESOAFY16 RESO A ROOFS,Scope,135,527,0,38994,33054
6M004P.S. 4 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,80,100000,99241,99241
6M005P.S. 5SCA CIPFIRE ALARM SYSTEM/SMOKE DAMPERS,Scope,90,81,36107,28510,20986
6M005P.S. 5SCA CIPFIRE ALARM SYSTEM/SMOKE DAMPERS,Design,185,307,118503,342991,336164
6M005P.S. 5SCA CIPFIRE ALARM SYSTEM/SMOKE DAMPERS,Construction,449,1880,1756551,1449995,1358714
6M005P.S. 5SCA CIPFIRE ALARM SYSTEM/SMOKE DAMPERS,"CM, F&E",449,1880,202133,219921,219921
6M005P.S. 5 - MANHATTANSCA CIPPARAPETS/ROOFS/WINDOWS/PLAYGROUND REDEVELOPMENT,Scope,141,86,191551,129816,128005
6M005P.S. 5 - MANHATTANSCA CIPPARAPETS/ROOFS/WINDOWS/PLAYGROUND REDEVELOPMENT,Design,154,233,756200,418920,411920
6M008P.S. 8 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,241,133,35000,34733,34733
6M028P.S. 28 - MANHATTANSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,63,127,0,316,316
6M028P.S. 28 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,150,52000,51605,51605
6M048P.S. 48 - MANHATTANSCA CIPTCU REMOVAL / PLAYGROUND REDEVELOPMENT,Scope,90,61,22920,1891,1891
6M048P.S. 48 - MANHATTANSCA CIPTCU REMOVAL / PLAYGROUND REDEVELOPMENT,Design,138,126,91680,8385,8385
6M048P.S. 48 - MANHATTANSCA CIPFIRE ALARM/CERTIFICATE OF OCCUPANCY,Scope,92,415,50585,50984,19628
6M052J.H.S. 52 - MANHATTANSCA CIPFLOOD ELIMINATION/EXTERIOR MASONRY,Scope,135,183,50511,87882,73738
6M052J.H.S. 52 - MANHATTANSCA CIPFLOOD ELIMINATION/EXTERIOR MASONRY,Design,159,359,193960,126399,103923
6M090I.S. 324 - MANHATTANDOE- RESOAFY15 RESO A PLAYGROUND REDEVELOPMEN,Construction,309,309,50000,43844,43844
6M115P.S. 115 - MANHATTANSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,121,97,0,12426,0
6M115P.S. 115 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,185,100000,99247,99247
6M115P.S. 115 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,185,35000,34738,34738
6M128P.S. 128 - MANHATTANSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Scope,154,77,101850,106106,106106
6M128P.S. 128 - MANHATTANSCA CIPPLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,158,223,407400,374590,364470
6M132P.S. 132 - MANHATTANSCA CIPDEFECTIVE WROUGHT IRON FENCE & HANDRAILS,Scope,91,70,26751,23092,23092
6M132P.S. 132 - MANHATTANSCA CIPDEFECTIVE WROUGHT IRON FENCE & HANDRAILS,Design,141,174,107003,93561,76626
6M132P.S. 132 - MANHATTANSCA CIPWATER INFILTRATION,Scope,141,96,117130,38249,1507
6M132P.S. 132 - MANHATTANSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,93,51,0,22187,2989
6M132P.S. 132 - MANHATTANDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,86,35000,34736,34736
11X722X721 SPED - BRONXSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,153,91,80860,74670,73280
11X722X721 SPED - BRONXSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,153,220,323438,195263,176953
11X839BRONX HS FOR THE VISUAL ARTSSCA CIPCOMPLETION OF PHASE II MERCY COLLEGE,Scope,91,136,26760,13098,13098
11X839BRONX HS FOR THE VISUAL ARTSSCA CIPCOMPLETION OF PHASE II MERCY COLLEGE,Design,187,303,98120,52527,41052
12X006P.S. 6 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,98,40000,39695,39695
12X006P.S. 6 - BRONXDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,98,60000,59550,59550
12X044P.S. 44 - BRONXSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Scope,138,211,136725,163630,163630
12X044P.S. 44 - BRONXSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Design,154,525,546901,390303,318471
12X050P.S. 50 - BRONXSCA CIPSWITCH GEAR REPLACEMENT,Scope,123,175,23400,15597,15597
12X050P.S. 50 - BRONXSCA CIPSWITCH GEAR REPLACEMENT,Design,156,219,93600,62579,62579
12X057P.S. 57 - BRONXSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,135,184,71858,83393,65838
12X057P.S. 57 - BRONXSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,156,321,277763,178662,74693
12X066P.S. 66 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Scope,90,62,26922,28126,28126
12X066P.S. 66 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Design,121,75,107687,120386,113275
12X066P.S. 66 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Construction,299,305,2019134,1961042,1634732
12X066P.S. 66 - BRONXSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,"CM, F&E",299,305,182795,331582,311989
12X077P.S. 196 - BRONXSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,139,178,135827,100016,84952
12X077P.S. 196 - BRONXSCA CIPEXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Design,152,224,537567,447868,374094
12X077P.S. 195 - BRONXSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,59,39,0,14052,3124
12X077P.S. 195 - BRONXSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Design,154,163,30000,16189,15000
12X084X811 SPED - BRONXSCA CIPPROBES-REPAIRS/PARAPETS/ ROOFS/WINDOWS,Scope,142,143,107190,124663,122272
12X084X811 SPED - BRONXSCA CIPPROBES-REPAIRS/PARAPETS/ ROOFS/WINDOWS,Design,156,195,422040,432560,349847
12X098I.S. 98 - BRONXSCA CIPSTH SBHC,Scope,119,124,32655,35362,35362
12X098I.S. 98 - BRONXSCA CIPSTH SBHC,Design,99,92,130620,145875,114614
12X102P.S. 102 - BRONXSCA CIPFLOOD ELIMINATION/ROOFS,Scope,139,272,61500,95028,94507
12X102P.S. 102 - BRONXSCA CIPFLOOD ELIMINATION/ROOFS,Design,157,430,246000,223829,185836
